iter	Passed	Remaining
897	9907	1125
898	9916	1114
899	9925	1102
900	9933	1091
901	9946	1080
902	9954	1069
903	9962	1057
904	9974	1047
905	9982	1035
906	9991	1024
907	9999	1013
908	10011	1002
909	10019	990
910	10028	979
911	10040	968
912	10048	957
913	10057	946
914	10067	935
915	10077	924
916	10085	912
917	10093	901
918	10106	890
919	10115	879
920	10123	868
921	10131	857
922	10144	846
923	10156	835
924	10172	824
925	10181	813
926	10189	802
927	10197	791
928	10212	780
929	10220	769
930	10228	758
931	10244	747
932	10254	736
933	10263	725
934	10274	714
935	10282	703
936	10291	691
937	10306	681
938	10314	670
939	10322	658
940	10335	648
941	10343	636
942	10350	625
943	10358	614
944	10370	603
945	10377	592
946	10385	581
947	10397	570
948	10407	559
949	10416	548
950	10426	537
951	10438	526
952	10448	515
953	10457	504
954	10471	493
955	10480	482
956	10489	471
957	10504	460
958	10516	449
959	10524	438
960	10537	427
961	10545	416
962	10554	405
963	10573	394
964	10581	383
965	10589	372
966	10605	361
967	10613	350
968	10621	339
969	10636	328
970	10646	317
971	10658	307
972	10673	296
973	10685	285
974	10701	274
975	10710	263
976	10723	252
977	10737	241
978	10748	230
979	10763	219
980	10772	208
981	10780	197
982	10794	186
983	10802	175
984	10810	164
985	10819	153
986	10832	142
987	10841	131
988	10851	120
989	10860	109
990	10868	98
991	10878	87
992	10889	76
993	10897	65
994	10905	54
995	10917	43
996	10927	32
997	10936	21
998	10949	10
999	10958	0
